iter	Passed	Remaining
0	0	76
1	0	70
2	0	65
3	1	61
4	1	61
5	1	62
6	2	61
7	2	69
8	3	70
9	3	70
10	4	69
11	4	68
12	4	66
13	4	65
14	5	63
15	5	62
16	5	62
17	6	60
18	6	60
19	6	59
20	6	59
21	7	59
22	7	57
23	7	57
24	8	56
25	8	56
26	8	56
27	9	55
28	9	55
29	9	55
30	10	54
31	10	54
32	10	53
33	10	53
34	11	53
35	11	52
36	11	52
37	12	52
38	12	51
39	12	51
40	13	51
41	13	50
42	13	50
43	14	50
44	14	49
45	14	49
46	15	49
47	15	49
48	15	48
49	16	48
50	16	48
51	16	47
52	17	47
53	17	47
54	17	46
55	18	46
56	18	45
57	18	45
58	18	45
59	19	44
60	19	44
61	19	44
62	20	43
63	20	43
64	20	43
65	21	42
66	21	42
67	21	42
68	22	41
69	22	41
70	22	41
71	23	41
72	23	40
73	23	40
74	24	40
75	24	39
76	24	39
77	25	39
78	25	38
79	25	38
80	26	38
81	26	38
82	26	37
83	27	37
84	27	37
85	27	36
86	28	36
87	28	36
88	28	35
89	29	35
90	29	35
91	29	34
92	29	34
93	30	34
94	30	33
95	30	33
96	31	33
97	31	32
98	31	32
99	32	32
100	32	31
101	32	31
102	33	31
103	33	30
104	33	30
105	34	30
106	34	29
107	34	29
108	35	29
109	35	29
110	35	28
111	36	28
112	36	28
113	36	27
114	37	27
115	37	27
116	37	26
117	38	26
118	38	26
119	38	25
120	38	25
121	39	25
122	39	24
123	39	24
124	40	24
125	40	23
126	40	23
127	41	23
128	41	22
129	41	22
130	42	22
131	42	21
132	42	21
133	43	21
134	43	20
135	43	20
136	44	20
137	44	19
138	44	19
139	45	19
140	45	19
141	45	18
142	46	18
143	46	18
144	46	17
145	47	17
146	47	17
147	47	16
148	47	16
149	48	16
150	48	15
151	48	15
152	49	15
153	49	14
154	49	14
155	50	14
156	50	13
157	50	13
158	51	13
159	51	12
160	51	12
161	52	12
162	52	11
163	52	11
164	53	11
165	53	10
166	53	10
167	54	10
168	54	9
169	54	9
170	54	9
171	55	9
172	55	8
173	55	8
174	56	8
175	56	7
176	56	7
177	57	7
178	57	6
179	57	6
180	58	6
181	58	5
182	58	5
183	59	5
184	59	4
185	59	4
186	60	4
187	60	3
188	60	3
189	61	3
190	61	2
191	61	2
192	62	2
193	62	1
194	62	1
195	63	1
196	63	0
197	63	0
198	64	0
199	64	0
