"True Tool wear
TWmax","Predicted Tool wear
TWmax"
0.324,0.324
0.213,0.213
0.415,0.415
0.28600000000000003,0.28600000000000003
0.213,0.213
0.36,0.36000000000000004
0.445,0.213
0.311,0.311
0.379,0.424
0.34,0.34
0.316,0.316
0.379,0.424
0.33,0.33
0.26,0.26
0.26,0.26
0.424,0.424
0.29600000000000004,0.29600000000000004
0.221,0.221
0.226,0.226
0.34299999999999997,0.34299999999999997
0.312,0.312
0.312,0.312
0.221,0.221
0.293,0.293
0.221,0.221
0.409,0.409
0.379,0.424
0.445,0.213
0.359,0.359
0.299,0.299
0.359,0.359
0.312,0.312
0.415,0.415
0.213,0.213
0.424,0.424
0.363,0.363
0.272,0.272
0.324,0.324
0.386,0.38599999999999995
0.28600000000000003,0.28600000000000003
0.34,0.34
0.299,0.299
0.363,0.363
0.26,0.26
0.409,0.409
0.29600000000000004,0.29600000000000004
0.237,0.237
0.321,0.321
0.445,0.213
0.379,0.424
